DateTime,Open,High,Low,Close
2024-01-02 13:30:00,16000,16010,15995,16005
2024-01-02 13:31:00,16005,16012,16002,16010
2024-01-02 13:32:00,16010,16035,16008,16030
2024-01-02 13:33:00,16030,16045,16028,16040
2024-01-02 13:34:00,16040,16042,16028,16035
2024-01-02 13:35:00,16035,16038,16020,16025
2024-01-02 13:36:00,16025,16028,16005,16008
2024-01-02 13:37:00,16003,16006,16000,16002
2024-01-02 13:38:00,15998,16001,15995,15997
2024-01-02 13:39:00,15993,15996,15990,15992
2024-01-02 13:40:00,15988,15991,15985,15987
2024-01-02 13:41:00,15983,15986,15980,15982
2024-01-02 13:42:00,15978,15981,15975,15977
2024-01-02 13:43:00,15973,15976,15970,15972
2024-01-02 13:44:00,15968,15971,15965,15967
2024-01-02 13:45:00,15963,15966,15960,15962
2024-01-02 13:46:00,15958,15961,15955,15957
2024-01-02 13:47:00,15953,15956,15950,15952
2024-01-02 13:48:00,15948,15951,15945,15947
2024-01-02 13:49:00,15943,15946,15940,15942
2024-01-02 13:50:00,15938,15941,15935,15937
2024-01-02 13:51:00,15933,15936,15930,15932
2024-01-02 13:52:00,15928,15931,15925,15927
2024-01-02 13:53:00,15923,15926,15920,15922
2024-01-02 13:54:00,15918,15921,15915,15917
2024-01-02 13:55:00,15913,15916,15910,15912
2024-01-02 13:56:00,15908,15911,15905,15907
2024-01-02 13:57:00,15903,15906,15900,15902
2024-01-02 13:58:00,15898,15901,15895,15897
2024-01-02 13:59:00,15893,15896,15890,15892
2024-01-02 14:00:00,15888,15891,15885,15887
2024-01-02 14:01:00,15883,15886,15880,15882
2024-01-02 14:02:00,15878,15881,15875,15877
2024-01-02 14:03:00,15873,15876,15870,15872
2024-01-02 14:04:00,15868,15871,15865,15867
2024-01-02 14:05:00,15863,15866,15860,15862
2024-01-02 14:06:00,15858,15861,15855,15857
2024-01-02 14:07:00,15853,15856,15850,15852
2024-01-02 14:08:00,15848,15851,15845,15847
2024-01-02 14:09:00,15843,15846,15840,15842
2024-01-02 14:10:00,15838,15841,15835,15837
2024-01-02 14:11:00,15833,15836,15830,15832
2024-01-02 14:12:00,15828,15831,15825,15827
2024-01-02 14:13:00,15823,15826,15820,15822
2024-01-02 14:14:00,15818,15821,15815,15817
2024-01-02 14:15:00,15813,15816,15810,15812
2024-01-03 13:30:00,15900,15905,15895,15900
2024-01-03 13:31:00,15900,15903,15890,15895
2024-01-03 13:32:00,15895,15898,15860,15865
2024-01-03 13:33:00,15865,15870,15855,15860
2024-01-03 13:34:00,15860,15870,15855,15862
2024-01-03 13:35:00,15862,15880,15860,15875
2024-01-03 13:36:00,15875,15895,15873,15892
2024-01-03 13:37:00,15897,15902,15895,15900
2024-01-03 13:38:00,15902,15907,15900,15905
2024-01-03 13:39:00,15907,15912,15905,15910
2024-01-03 13:40:00,15912,15917,15910,15915
2024-01-03 13:41:00,15917,15922,15915,15920
2024-01-03 13:42:00,15922,15927,15920,15925
2024-01-03 13:43:00,15927,15932,15925,15930
2024-01-03 13:44:00,15932,15937,15930,15935
2024-01-03 13:45:00,15937,15942,15935,15940
2024-01-03 13:46:00,15942,15947,15940,15945
2024-01-03 13:47:00,15947,15952,15945,15950
2024-01-03 13:48:00,15952,15957,15950,15955
2024-01-03 13:49:00,15957,15962,15955,15960
2024-01-03 13:50:00,15962,15967,15960,15965
2024-01-03 13:51:00,15967,15972,15965,15970
2024-01-03 13:52:00,15972,15977,15970,15975
2024-01-03 13:53:00,15977,15982,15975,15980
2024-01-03 13:54:00,15982,15987,15980,15985
2024-01-03 13:55:00,15987,15992,15985,15990
2024-01-03 13:56:00,15992,15997,15990,15995
2024-01-03 13:57:00,15997,16002,15995,16000
2024-01-03 13:58:00,16002,16007,16000,16005
2024-01-03 13:59:00,16007,16012,16005,16010
2024-01-03 14:00:00,16012,16017,16010,16015
